P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Hcyd.chi.pan	Hcyd.zel.col	Hmel.ama.per	0.00638143	3.33034	0.00086739	0.00279055	676597	145672	143824
Hcyd.chi.pan	Hcyd.zel.col	Hmel.mal.col	0.00502899	2.89245	0.00382254	0.00236569	662588	148456	146971
Hcyd.chi.pan	Hcyd.zel.col	Hmel.mel.gui	0.00151015	0.734405	0.462702	0.000490289	631475	135655	135246
Hcyd.zel.col	Hcyd.chi.pan	Hmel.ros.pan	0.00386708	1.8413	0.0655774	0.00288951	517136	185272	183844
Hcyd.chi.pan	Hcyd.zel.col	Hmel.vul.col	0.00415211	1.96102	0.0498771	0.00280259	516098	187693	186141
Hcyd.chi.pan	Hcyd.zel.col	Htim.flo.per	0.000349691	0.167752	0.866779	0.000209136	489568	175931	175808
Hcyd.chi.pan	Hcyd.zel.col	Htim.the.per	0.00157566	0.792234	0.428224	0.000868917	508010	174233	173685
Hmel.ama.per	Hmel.mal.col	Hcyd.chi.pan	0.0455981	15.5088	2.3e-16	0.0220299	650372	172124	157111
Hmel.ama.per	Hmel.mel.gui	Hcyd.chi.pan	0.0220766	3.38338	0.00071599	0.0116892	554834	173571	166073
Hcyd.chi.pan	Hmel.ama.per	Hmel.ros.pan	0.00603256	0.683635	0.494206	0.00931237	172080	375376	370874
Hmel.ama.per	Hcyd.chi.pan	Hmel.vul.col	0.0011366	0.132629	0.894487	0.0015751	173006	378092	377234
Hcyd.chi.pan	Hmel.ama.per	Htim.flo.per	0.070838	5.36334	8.16964e-08	0.095609	155994	417563	362318
Hcyd.chi.pan	Hmel.ama.per	Htim.the.per	0.138102	9.59318	2.3e-16	0.177802	152815	454743	344382
Hmel.mel.gui	Hmel.mal.col	Hcyd.chi.pan	0.0173146	2.58308	0.00979229	0.00981476	526620	182081	175883
Hcyd.chi.pan	Hmel.mal.col	Hmel.ros.pan	0.0282189	3.25863	0.00111951	0.0431756	176005	379679	358839
Hcyd.chi.pan	Hmel.mal.col	Hmel.vul.col	0.0207088	2.4552	0.0140804	0.0284893	176974	381425	365948
Hcyd.chi.pan	Hmel.mal.col	Htim.flo.per	0.0799343	6.11897	9.41848e-10	0.106781	163357	415938	354365
Hcyd.chi.pan	Hmel.mal.col	Htim.the.per	0.127673	9.06443	2.3e-16	0.160895	164181	439744	340170
Hcyd.chi.pan	Hmel.mel.gui	Hmel.ros.pan	0.0725758	7.50893	5.96133e-14	0.113607	153201	382866	331053
Hcyd.chi.pan	Hmel.mel.gui	Hmel.vul.col	0.0623704	6.83123	8.41909e-12	0.0874034	154095	382684	337750
Hmel.mel.gui	Hcyd.chi.pan	Htim.flo.per	0.00348168	0.258647	0.795908	0.00445224	163044	352015	349572
Hcyd.chi.pan	Hmel.mel.gui	Htim.the.per	0.0496739	3.36741	0.000758779	0.0603063	162932	373358	338021
Hmel.ros.pan	Hmel.vul.col	Hcyd.chi.pan	0.0116737	3.15036	0.0016307	0.0101641	526413	213697	208766
Hmel.ros.pan	Htim.flo.per	Hcyd.chi.pan	0.0192136	1.40253	0.160756	0.0247382	277798	306975	295401
Htim.the.per	Hmel.ros.pan	Hcyd.chi.pan	0.00859213	0.597252	0.550339	0.0108526	285911	304621	299431
Hmel.vul.col	Htim.flo.per	Hcyd.chi.pan	0.0121854	0.91855	0.358331	0.0157847	280163	306541	299160
Htim.the.per	Hmel.vul.col	Hcyd.chi.pan	0.0158898	1.13613	0.255903	0.0199812	289267	308312	298667
Htim.the.per	Htim.flo.per	Hcyd.chi.pan	0.0438066	10.1916	2.3e-16	0.0332415	546821	187995	172216
Hmel.ama.per	Hmel.mal.col	Hcyd.zel.col	0.0444176	15.0137	2.3e-16	0.0218604	662843	175795	160842
Hmel.ama.per	Hmel.mel.gui	Hcyd.zel.col	0.0167448	2.57037	0.0101591	0.00899691	560977	174722	168967
Hcyd.zel.col	Hmel.ama.per	Hmel.ros.pan	0.0102584	1.1578	0.246947	0.0156432	177016	382527	374758
Hmel.ama.per	Hcyd.zel.col	Hmel.vul.col	0.00167892	0.194782	0.845563	0.00232573	177849	386222	384927
Hcyd.zel.col	Hmel.ama.per	Htim.flo.per	0.0706309	5.40183	6.59657e-08	0.0950006	159682	424614	368589
