scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel215003o,1,50000,25362,48742,2138,91.9748,31.8089,0.4861,0.2488,0.1526
Hmel215003o,25001,75000,49999,49974,2841,92.0592,39.8426,0.3959,0.1524,0.0955
Hmel215003o,50001,100000,74134,46910,1984,68.4126,25.8633,0.4513,0.164,0.0998
Hmel215003o,75001,125000,100537,46372,1571,57.5922,13.1325,0.6286,0.3335,0.1935
Hmel215003o,100001,150000,125061,49437,2348,30.0414,9.3445,0.5255,0.0741,0.0547
Hmel215003o,125001,175000,149996,49978,2591,6.7609,33.8714,-0.6672,-0.0589,-0.0413
Hmel215003o,150001,200000,175002,49979,2456,6.963,38.4047,-0.693,-0.0609,-0.0407
Hmel215003o,175001,225000,199984,49895,2659,42.073,34.5018,0.0989,0.0171,0.0105
Hmel215003o,200001,250000,225023,49849,3314,91.7089,64.8044,0.1719,0.0945,0.0477
Hmel215003o,225001,275000,250015,49950,3672,98.5611,70.9892,0.1626,0.1263,0.0587
Hmel215003o,250001,300000,275000,49997,3463,99.7522,72.1147,0.1608,0.1351,0.0587
Hmel215003o,275001,325000,299998,49987,3016,91.1168,52.5741,0.2682,0.2134,0.0984
Hmel215003o,300001,350000,325001,49988,3083,76.7092,29.7568,0.441,0.233,0.129
Hmel215003o,325001,375000,350001,49997,3703,99.8107,46.9704,0.36,0.1981,0.1105
Hmel215003o,350001,400000,374667,48570,3646,143.4599,61.5797,0.3993,0.2744,0.1543
Hmel215003o,375001,425000,400336,48432,3507,155.4364,64.5791,0.413,0.2519,0.1472
Hmel215003o,400001,450000,424993,49610,3414,140.874,72.8274,0.3184,0.194,0.1086
Hmel215003o,425001,475000,450114,49631,3637,133.7127,88.6398,0.2027,0.1433,0.0779
Hmel215003o,450001,500000,474571,48821,3886,118.4295,97.2712,0.0981,0.0641,0.0354
Hmel215003o,475001,525000,500053,48876,3971,148.7577,96.965,0.2108,0.1589,0.0813
Hmel215003o,500001,550000,525031,49932,3716,151.1274,106.508,0.1732,0.1678,0.0736
Hmel215003o,525001,575000,550003,49995,3412,116.5395,100.2905,0.0749,0.0738,0.0328
Hmel215003o,550001,600000,575000,49988,3207,109.9711,67.3412,0.2404,0.1822,0.0962
Hmel215003o,575001,625000,600004,49982,3017,98.8325,174.1124,-0.2758,-0.2687,-0.1017
Hmel215003o,600001,650000,624994,49964,3188,80.5885,159.4483,-0.3285,-0.2417,-0.1042
Hmel215003o,625001,675000,648662,46668,2980,75.5824,34.0105,0.3793,0.1476,0.0973
Hmel215003o,650001,700000,674594,44403,2305,77.9533,32.6543,0.4095,0.1867,0.1208
Hmel215003o,675001,725000,700373,46245,2503,69.4428,34.582,0.3351,0.13,0.0833
Hmel215003o,700001,750000,725562,48042,3194,77.5562,51.3062,0.2037,0.1108,0.0647
Hmel215003o,725001,775000,750095,49465,3007,88.8099,41.8133,0.3598,0.2938,0.1532
Hmel215003o,750001,800000,774993,49919,3209,108.7775,51.7171,0.3555,0.2912,0.1411
Hmel215003o,775001,825000,799985,49768,3459,117.4427,71.1927,0.2452,0.2189,0.1055
Hmel215003o,800001,850000,825069,49767,3454,106.2907,75.823,0.1673,0.175,0.0811
Hmel215003o,825001,875000,850011,49919,3582,112.3841,81.4219,0.1598,0.1473,0.0734
Hmel215003o,850001,900000,875002,49923,3552,114.4024,74.2527,0.2128,0.1674,0.0879
Hmel215003o,875001,925000,899611,48894,3408,95.5482,65.7836,0.1845,0.13,0.0665
Hmel215003o,900001,950000,925108,48779,3071,98.6777,61.4943,0.2321,0.1515,0.0843
Hmel215003o,925001,975000,949994,49601,3001,98.1122,53.1913,0.2969,0.1784,0.1057
Hmel215003o,950001,1000000,975068,49751,3261,93.119,63.8422,0.1865,0.1492,0.0749
Hmel215003o,975001,1025000,997448,44789,2826,85.0854,63.192,0.1477,0.1422,0.0679
Hmel215003o,1000001,1050000,1015121,23178,1135,34.3594,22.7938,0.2024,0.1645,0.0895
Hmel215003o,1025001,1075000,1060421,28375,1491,60.1401,29.237,0.3458,0.3028,0.1232
Hmel215003o,1050001,1100000,1074990,49806,2333,125.7268,46.0084,0.4642,0.4057,0.1792
Hmel215003o,1075001,1125000,1100072,49764,1780,123.509,33.4819,0.5735,0.3808,0.2173
Hmel215003o,1100001,1150000,1121993,35643,1185,101.9359,17.6893,0.7043,0.3868,0.238
Hmel215003o,1125001,1175000,1157049,35219,1323,127.7909,13.7093,0.8062,0.3318,0.2145
Hmel215003o,1150001,1200000,1175193,49482,2335,149.8241,27.1043,0.6936,0.2769,0.176
Hmel215003o,1175001,1225000,1199875,49477,2746,125.2279,48.8036,0.4391,0.261,0.1425
Hmel215003o,1200001,1250000,1225099,49480,2507,106.7404,52.2605,0.3426,0.2871,0.143
Hmel215003o,1225001,1275000,1250004,49951,2585,106.6487,76.2556,0.1662,0.1245,0.0662
Hmel215003o,1250001,1300000,1274970,49844,2774,95.8638,65.4874,0.1883,0.1097,0.0624
Hmel215003o,1275001,1325000,1300032,49814,2360,59.943,16.6148,0.566,0.2662,0.147
Hmel215003o,1300001,1350000,1325004,49950,2821,74.6254,62.1852,0.0909,0.0851,0.0349
Hmel215003o,1325001,1375000,1350001,49985,3289,124.1513,78.794,0.2235,0.2078,0.098
Hmel215003o,1350001,1400000,1374887,49632,3084,141.2582,74.9498,0.3067,0.2416,0.1287
Hmel215003o,1375001,1425000,1400059,49610,2548,112.8998,79.7661,0.172,0.1435,0.071
Hmel215003o,1400001,1450000,1424996,49954,2191,123.0307,52.5321,0.4016,0.3545,0.1876
Hmel215003o,1425001,1475000,1449984,49928,2140,109.2059,51.1576,0.362,0.2574,0.147
Hmel215003o,1450001,1500000,1473325,45990,2062,66.3938,51.2893,0.1283,0.0733,0.0411
Hmel215003o,1475001,1525000,1500440,45968,2184,99.467,48.2181,0.347,0.2182,0.1326
Hmel215003o,1500001,1550000,1523702,45550,2012,116.7706,52.2154,0.382,0.2626,0.161
Hmel215003o,1525001,1575000,1551097,45623,2109,126.7234,62.5002,0.3394,0.2383,0.1428
Hmel215003o,1550001,1600000,1574997,49900,2710,177.6588,66.3185,0.4564,0.2779,0.1826
Hmel215003o,1575001,1625000,1600042,49883,2771,140.9865,36.2029,0.5914,0.3075,0.2147
Hmel215003o,1600001,1650000,1625000,49975,2848,100.2477,45.9019,0.3719,0.2205,0.1276
Hmel215003o,1625001,1675000,1647957,44707,2751,87.7463,48.1335,0.2915,0.1956,0.0965
Hmel215003o,1650001,1700000,1675858,44433,2240,59.8973,26.2484,0.3906,0.172,0.0925
Hmel215003o,1675001,1725000,1700086,49685,2415,70.4917,33.6042,0.3544,0.1201,0.0754
Hmel215003o,1700001,1750000,1724983,49770,2279,68.7622,26.8289,0.4387,0.1249,0.0853
Hmel215003o,1725001,1775000,1750064,49765,2236,75.4359,20.5286,0.5722,0.179,0.1124
Hmel215003o,1750001,1800000,1775011,49949,2520,61.096,126.0449,-0.3471,-0.1843,-0.0942
Hmel215003o,1775001,1825000,1799721,49038,2200,42.7974,161.8605,-0.5818,-0.3123,-0.1582
Hmel215003o,1800001,1850000,1825201,49047,2472,88.6806,79.2598,0.0561,0.0267,0.0154
Hmel215003o,1825001,1875000,1849985,49930,2993,122.3348,53.9129,0.3882,0.2142,0.1308
Hmel215003o,1850001,1900000,1875017,49932,2719,88.2163,41.2673,0.3626,0.1906,0.1195
Hmel215003o,1875001,1925000,1900001,49996,2460,83.3322,37.6121,0.378,0.2199,0.1395
Hmel215003o,1900001,1950000,1924350,47553,2328,80.7322,21.9291,0.5728,0.292,0.1828
Hmel215003o,1925001,1975000,1950630,47501,2350,73.2623,15.5803,0.6493,0.3112,0.1926
Hmel215003o,1950001,2000000,1975021,49939,2939,128.2332,25.1964,0.6716,0.4199,0.2728
Hmel215003o,1975001,2025000,2000001,49989,3115,133.8309,34.7833,0.5874,0.3533,0.2216
Hmel215003o,2000001,2050000,2023768,45370,2782,86.2576,64.709,0.1427,0.0936,0.0526
Hmel215003o,2025001,2075000,2051157,45020,2879,103.6244,82.1834,0.1154,0.1026,0.0514
Hmel215003o,2050001,2100000,2075024,49634,2776,129.3877,54.9804,0.4036,0.3994,0.2036
Hmel215003o,2075001,2125000,2099946,49772,2331,100.1519,34.3109,0.4897,0.4038,0.2329
Hmel215003o,2100001,2150000,2125050,49762,2539,95.9897,41.5439,0.3959,0.3294,0.1814
Hmel215003o,2125001,2175000,2149882,49713,2660,88.9638,46.7749,0.3108,0.2826,0.1426
Hmel215003o,2150001,2200000,2174235,45789,1773,64.0441,39.7784,0.2337,0.2103,0.1086
Hmel215003o,2175001,2225000,2201109,45227,1608,66.4609,35.2067,0.3074,0.2165,0.125
Hmel215003o,2200001,2250000,2225146,49149,2527,93.9299,29.2319,0.5253,0.3188,0.1942
Hmel215003o,2225001,2275000,2250006,49975,2926,118.9109,44.3074,0.4571,0.322,0.1835
Hmel215003o,2250001,2300000,2274998,49981,2958,101.6556,60.8827,0.2509,0.1788,0.0973
Hmel215003o,2275001,2325000,2299980,49657,2844,78.6396,56.1684,0.1667,0.1168,0.0639
Hmel215003o,2300001,2350000,2325131,49658,2542,76.3253,56.517,0.1491,0.1341,0.0663
Hmel215003o,2325001,2375000,2349951,49753,2476,78.0531,59.351,0.1361,0.1638,0.0683
Hmel215003o,2350001,2400000,2375061,49764,2549,76.5625,56.0527,0.1547,0.157,0.0668
Hmel215003o,2375001,2425000,2399353,46764,2129,69.6975,44.4906,0.2207,0.2039,0.0974
Hmel215003o,2400001,2450000,2425953,46052,1804,57.6929,36.2172,0.2287,0.255,0.1144
Hmel215003o,2425001,2475000,2450172,48896,1961,84.5361,32.6552,0.4427,0.2577,0.1444
Hmel215003o,2450001,2500000,2475077,49463,2281,71.3984,34.2318,0.3519,0.1085,0.0714
Hmel215003o,2475001,2525000,2499942,49484,1699,28.2526,22.2318,0.1193,0.025,0.0171
Hmel215003o,2500001,2550000,2525106,49631,1518,34.5994,26.4474,0.1335,0.0477,0.0307
Hmel215003o,2525001,2575000,2549930,49731,2486,64.4299,65.3088,-0.0068,-0.005,-0.0027
Hmel215003o,2550001,2600000,2574957,49392,2634,74.8588,74.2994,0.0038,0.0046,0.002
Hmel215003o,2575001,2625000,2599985,49357,2506,102.434,60.059,0.2608,0.245,0.1295
Hmel215003o,2600001,2650000,2624965,49129,2601,122.7627,58.1224,0.3574,0.2838,0.162
Hmel215003o,2625001,2675000,2649937,48768,2406,94.1168,54.3404,0.2679,0.2111,0.1123
Hmel215003o,2650001,2700000,2673300,44267,2199,69.0092,57.6095,0.09,0.0855,0.038
Hmel215003o,2675001,2725000,2700988,43899,2269,69.4592,52.5043,0.139,0.1153,0.056
Hmel215003o,2700001,2750000,2725317,48577,2368,76.3616,42.5957,0.2838,0.1829,0.0999
Hmel215003o,2725001,2775000,2749838,48953,2287,74.6921,45.9629,0.2381,0.1499,0.0853
Hmel215003o,2750001,2800000,2774749,48374,2239,77.2177,43.567,0.2786,0.1959,0.1152
Hmel215003o,2775001,2825000,2800140,48944,2735,64.9622,43.1056,0.2022,0.0964,0.0588
Hmel215003o,2800001,2850000,2824387,48165,2689,76.6276,35.1523,0.371,0.1384,0.0946
Hmel215003o,2825001,2875000,2850129,47557,2094,80.6744,31.8786,0.4335,0.2035,0.1425
Hmel215003o,2850001,2900000,2875172,48809,2588,80.5883,53.4893,0.2021,0.157,0.0901
Hmel215003o,2875001,2925000,2900028,47937,2613,75.7075,62.7266,0.0938,0.1068,0.0491
Hmel215003o,2900001,2950000,2925588,47746,1993,63.5676,45.6603,0.1639,0.2031,0.0814
Hmel215003o,2925001,2975000,2950266,48960,2075,56.9098,32.457,0.2736,0.2634,0.1176
Hmel215003o,2950001,3000000,2975134,49631,2922,63.1406,28.2872,0.3812,0.2263,0.1328
Hmel215003o,2975001,3025000,2999961,49672,3044,77.5967,29.7873,0.4452,0.2214,0.1415
Hmel215003o,3000001,3050000,3025109,49692,2863,103.2635,45.5958,0.3874,0.2535,0.1466
Hmel215003o,3025001,3075000,3049769,49478,3123,118.0257,60.999,0.3185,0.2567,0.1407
Hmel215003o,3050001,3100000,3075024,49457,3144,99.5561,62.9477,0.2253,0.1891,0.1055
Hmel215003o,3075001,3125000,3099582,49056,2976,78.7472,50.6097,0.2175,0.1899,0.1034
Hmel215003o,3100001,3150000,3124969,48740,2490,66.3202,38.7261,0.2627,0.1878,0.1004
Hmel215003o,3125001,3175000,3150043,49555,2769,73.0513,52.6336,0.1625,0.1141,0.0617
Hmel215003o,3150001,3200000,3174986,49349,3036,83.6837,59.1434,0.1718,0.1474,0.0765
Hmel215003o,3175001,3225000,3200127,48189,2940,89.2657,64.3817,0.162,0.1397,0.0744
Hmel215003o,3200001,3250000,3225333,48088,3071,88.2994,77.796,0.0632,0.0462,0.0262
Hmel215003o,3225001,3275000,3250121,49279,3222,102.0782,74.9383,0.1533,0.1151,0.0662
Hmel215003o,3250001,3300000,3274750,47473,2506,94.1192,55.0838,0.2616,0.1805,0.1133
Hmel215003o,3275001,3325000,3301011,47536,2231,77.4878,49.8867,0.2167,0.1303,0.082
Hmel215003o,3300001,3350000,3324992,49895,2750,79.7643,51.2352,0.2178,0.1216,0.0742
Hmel215003o,3325001,3375000,3349997,49754,2671,70.7711,35.4211,0.3329,0.1355,0.0872
