scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel215003o,1,50000,25362,48742,2243,84.9659,32.7145,0.444,0.2876,0.1571
Hmel215003o,25001,75000,49999,49974,2934,99.9331,45.3695,0.3755,0.201,0.1147
Hmel215003o,50001,100000,74134,46910,2051,74.8026,34.404,0.3699,0.182,0.1033
Hmel215003o,75001,125000,100537,46372,1700,53.9961,21.9697,0.4216,0.286,0.1497
Hmel215003o,100001,150000,125061,49437,2415,28.3714,13.6811,0.3493,0.0579,0.0409
Hmel215003o,125001,175000,149996,49978,2610,6.652,34.8874,-0.6797,-0.0645,-0.0442
Hmel215003o,150001,200000,175002,49979,2445,6.9297,38.563,-0.6953,-0.0597,-0.0405
Hmel215003o,175001,225000,199984,49895,2578,40.1844,38.032,0.0275,0.0047,0.0029
Hmel215003o,200001,250000,225023,49849,3259,89.9886,66.0831,0.1532,0.0881,0.0426
Hmel215003o,225001,275000,250015,49950,3651,91.8656,61.6712,0.1967,0.1477,0.0667
Hmel215003o,250001,300000,275000,49997,3556,82.0047,64.1117,0.1225,0.0985,0.041
Hmel215003o,275001,325000,299998,49987,3140,67.3139,53.2854,0.1163,0.0917,0.0404
Hmel215003o,300001,350000,325001,49988,3106,67.5289,41.2893,0.2411,0.1358,0.0742
Hmel215003o,325001,375000,350001,49997,3795,101.0786,63.1415,0.231,0.1469,0.0764
Hmel215003o,350001,400000,374667,48570,3765,143.2565,66.9589,0.3629,0.2444,0.1363
Hmel215003o,375001,425000,400336,48432,3672,145.1819,58.5298,0.4254,0.2592,0.1506
Hmel215003o,400001,450000,424993,49610,3637,114.7295,70.2556,0.2404,0.1634,0.084
Hmel215003o,425001,475000,450114,49631,3974,114.3942,96.0988,0.0869,0.0669,0.035
Hmel215003o,450001,500000,474571,48821,4205,108.6929,109.4047,-0.0033,-0.0023,-0.0012
Hmel215003o,475001,525000,500053,48876,4194,122.5436,106.4054,0.0705,0.0538,0.0264
Hmel215003o,500001,550000,525031,49932,3883,113.7756,124.0166,-0.0431,-0.044,-0.0182
Hmel215003o,525001,575000,550003,49995,3454,84.0353,120.2975,-0.1775,-0.1957,-0.081
