scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Hmel218003o,1,20000,12046,15373,737,6.274,9.851,-0.2218,-0.0388,-0.0244
Hmel218003o,20001,40000,30030,19937,829,3.4245,34.6953,-0.8203,-0.2142,-0.1258
Hmel218003o,40001,60000,50002,19990,616,11.9243,7.4382,0.2317,0.1263,0.0599
Hmel218003o,60001,80000,70000,20000,851,41.351,7.2479,0.7017,0.4032,0.1922
Hmel218003o,80001,100000,89998,19990,533,8.7812,18.1229,-0.3472,-0.223,-0.0987
Hmel218003o,100001,120000,110081,19122,921,20.6142,21.9111,-0.0305,-0.0137,-0.008
Hmel218003o,120001,140000,130000,19999,700,38.3938,4.675,0.7829,0.4994,0.3056
Hmel218003o,140001,160000,149998,19937,781,41.5969,1.325,0.9383,0.4918,0.2806
Hmel218003o,160001,180000,169992,19969,1071,16.8938,11.5128,0.1894,0.0423,0.0277
Hmel218003o,180001,200000,190001,19994,883,21.4458,3.5458,0.7162,0.1187,0.0796
Hmel218003o,200001,220000,210047,19863,677,8.0938,2.25,0.565,0.0615,0.0362
Hmel218003o,220001,240000,229999,19992,703,12.6833,2.7625,0.6423,0.1086,0.0682
Hmel218003o,240001,260000,249919,19618,791,10.2812,0.75,0.864,0.1105,0.0626
Hmel218003o,260001,280000,270000,20000,878,16.9692,2.9793,0.7013,0.2291,0.1119
Hmel218003o,280001,300000,290000,19999,986,7.1682,3.3297,0.3656,0.0371,0.0267
Hmel218003o,300001,320000,310000,19989,869,8.5746,2.6027,0.5343,0.0682,0.0497
Hmel218003o,320001,340000,329993,19953,867,12.7052,17.6875,-0.1639,-0.0597,-0.0295
Hmel218003o,340001,360000,350008,19972,1088,8.0781,6.2177,0.1301,0.0206,0.0132
Hmel218003o,360001,380000,369902,18667,816,16.9486,23.1865,-0.1554,-0.0906,-0.0479
Hmel218003o,380001,400000,389847,19059,740,2.3824,101.5473,-0.9542,-1.2349,-0.3962
Hmel218003o,400001,420000,410002,19991,1114,9.4635,1.9875,0.6529,0.0831,0.0542
Hmel218003o,420001,440000,430000,19997,1053,11.6876,2.6012,0.6359,0.0892,0.062
Hmel218003o,440001,460000,450000,19995,923,7.3919,3.7471,0.3272,0.0325,0.0244
Hmel218003o,460001,480000,470000,20000,1095,11.69,11.4556,0.0101,0.0021,0.0013
Hmel218003o,480001,500000,490000,20000,1014,11.4233,6.4458,0.2785,0.0459,0.0298
Hmel218003o,500001,520000,509815,19502,1142,38.8171,14.4331,0.4579,0.2972,0.1891
Hmel218003o,520001,540000,530129,19693,1019,29.0764,8.967,0.5286,0.2928,0.1551
Hmel218003o,540001,560000,549260,17925,862,17.3538,16.7621,0.0173,0.0081,0.0053
Hmel218003o,560001,580000,570012,19927,1392,37.3686,24.6859,0.2044,0.09,0.0572
Hmel218003o,580001,600000,589996,19951,1224,28.4299,21.3986,0.1411,0.0621,0.0375
Hmel218003o,600001,620000,609977,19938,1043,20.8069,6.4079,0.5291,0.1204,0.0781
Hmel218003o,620001,640000,630095,19730,795,16.0151,2.4276,0.7367,0.1637,0.1193
Hmel218003o,640001,660000,650005,19982,712,6.9401,6.0821,0.0659,0.0254,0.0135
Hmel218003o,660001,680000,670000,20000,1003,14.9571,7.6623,0.3225,0.0685,0.0487
Hmel218003o,680001,700000,690000,19998,1028,47.572,12.8945,0.5735,0.2796,0.1709
Hmel218003o,700001,720000,710000,20000,903,56.8941,6.74,0.7882,0.4755,0.2693
Hmel218003o,720001,740000,729987,19915,779,35.2438,5.2254,0.7418,0.4026,0.2188
Hmel218003o,740001,760000,750271,19411,1390,49.4559,20.376,0.4164,0.3117,0.157
Hmel218003o,760001,780000,770001,19769,1155,44.346,9.2296,0.6555,0.4316,0.1992
Hmel218003o,780001,800000,790016,19951,703,104.3281,2.575,0.9518,0.812,0.4324
Hmel218003o,800001,820000,810000,19999,848,144.5677,1.025,0.9859,0.7838,0.4102
Hmel218003o,820001,840000,830000,20000,920,42.5601,12.8753,0.5355,0.3559,0.1675
Hmel218003o,840001,860000,850000,20000,1216,19.4255,3.3547,0.7055,0.0944,0.0638
Hmel218003o,860001,880000,870000,19998,848,38.5457,15.902,0.4159,0.145,0.0995
Hmel218003o,880001,900000,890000,19999,1364,18.5753,9.9694,0.3015,0.0797,0.048
Hmel218003o,900001,920000,910093,16941,906,22.9482,14.8441,0.2144,0.1492,0.067
Hmel218003o,920001,940000,930004,19983,1266,25.9912,17.927,0.1836,0.0767,0.0378
Hmel218003o,940001,960000,950000,20000,1257,17.4895,6.0173,0.488,0.118,0.072
Hmel218003o,960001,980000,969972,19821,1512,30.9061,40.4106,-0.1333,-0.0664,-0.0335
Hmel218003o,980001,1000000,989999,19997,1602,30.0279,40.3143,-0.1462,-0.0952,-0.044
Hmel218003o,1000001,1020000,1010321,16336,1184,17.2881,18.5614,-0.0355,-0.0136,-0.0076
Hmel218003o,1020001,1040000,1029997,19972,1480,17.9309,14.0288,0.1221,0.0354,0.0221
Hmel218003o,1040001,1060000,1050001,19999,1450,30.1462,41.9917,-0.1642,-0.0634,-0.0385
Hmel218003o,1060001,1080000,1070000,20000,1437,58.1198,22.5146,0.4416,0.2513,0.1412
Hmel218003o,1080001,1100000,1090000,20000,1391,22.5615,18.0251,0.1118,0.0439,0.0238
Hmel218003o,1100001,1120000,1110000,20000,1493,24.9447,18.6618,0.1441,0.0547,0.028
Hmel218003o,1120001,1140000,1130000,20000,1615,30.1897,19.4623,0.2161,0.1031,0.0498
Hmel218003o,1140001,1160000,1150070,18193,1077,16.2515,17.706,-0.0428,-0.0217,-0.009
Hmel218003o,1160001,1180000,1169349,16865,1059,22.3034,6.0847,0.5713,0.1577,0.1041
Hmel218003o,1180001,1200000,1190104,19708,1030,28.184,7.7944,0.5667,0.2987,0.1706
Hmel218003o,1200001,1220000,1210005,19950,1235,45.7524,14.7868,0.5115,0.4018,0.2503
Hmel218003o,1220001,1240000,1229993,19973,1219,43.7822,11.6982,0.5783,0.3795,0.2193
Hmel218003o,1240001,1260000,1249890,19680,1063,37.8059,21.7344,0.2699,0.1429,0.1028
Hmel218003o,1260001,1280000,1270489,18999,1356,42.8859,20.0248,0.3634,0.2559,0.1412
Hmel218003o,1280001,1300000,1289996,19954,1232,30.1595,25.72,0.0794,0.0622,0.0276
Hmel218003o,1300001,1320000,1308674,17330,987,22.6617,20.0138,0.062,0.0261,0.0115
Hmel218003o,1320001,1340000,1332255,15111,863,30.823,16.7616,0.2955,0.1538,0.0851
Hmel218003o,1340001,1360000,1350000,19999,1322,38.4922,18.011,0.3625,0.2052,0.1268
Hmel218003o,1360001,1380000,1370006,19938,1396,28.4293,34.3647,-0.0945,-0.0856,-0.0403
Hmel218003o,1380001,1400000,1390005,19980,1194,30.3329,18.5725,0.2405,0.153,0.0727
Hmel218003o,1400001,1420000,1410000,20000,1287,38.5477,26.8164,0.1795,0.1451,0.0817
Hmel218003o,1420001,1440000,1430020,19579,1141,33.2432,27.9918,0.0858,0.0766,0.0346
Hmel218003o,1440001,1460000,1449984,19964,1267,36.2405,27.5367,0.1365,0.1006,0.0537
Hmel218003o,1460001,1480000,1470681,18533,1182,28.6572,25.5666,0.057,0.055,0.0265
Hmel218003o,1480001,1500000,1489999,19978,1413,38.3313,27.2125,0.1696,0.1341,0.0727
Hmel218003o,1500001,1520000,1510000,20000,1202,22.1937,16.2534,0.1545,0.0935,0.035
Hmel218003o,1520001,1540000,1529999,19985,1370,34.8125,30.9684,0.0584,0.0462,0.0224
Hmel218003o,1540001,1560000,1550001,19992,1435,41.4873,20.4911,0.3388,0.2506,0.1141
Hmel218003o,1560001,1580000,1570014,19935,973,23.3441,30.6906,-0.136,-0.0806,-0.0418
Hmel218003o,1580001,1600000,1590001,19993,1378,41.2712,35.2594,0.0786,0.0693,0.0292
Hmel218003o,1600001,1620000,1609843,19034,950,39.3749,16.7849,0.4022,0.371,0.1664
Hmel218003o,1620001,1640000,1630078,17746,858,14.8534,15.0735,-0.0074,-0.0051,-0.0023
Hmel218003o,1640001,1660000,1649997,19981,1323,26.1822,31.8961,-0.0984,-0.063,-0.0318
Hmel218003o,1660001,1680000,1670000,19999,1194,38.6986,25.8923,0.1983,0.1315,0.0648
Hmel218003o,1680001,1700000,1690000,19999,1320,32.5614,24.1145,0.149,0.1283,0.0574
Hmel218003o,1700001,1720000,1710058,19770,898,20.9841,18.4265,0.0649,0.0563,0.021
Hmel218003o,1720001,1740000,1730000,20000,1268,42.1618,30.1503,0.1661,0.1666,0.0722
Hmel218003o,1740001,1760000,1749998,19991,1041,26.4748,21.5741,0.102,0.0757,0.0329
Hmel218003o,1760001,1780000,1770000,20000,1084,29.8036,18.3435,0.238,0.1946,0.0821
Hmel218003o,1780001,1800000,1790003,19994,1169,49.5608,21.9358,0.3864,0.2195,0.12
Hmel218003o,1800001,1820000,1809981,19959,1278,29.8277,31.4191,-0.026,-0.0185,-0.0082
Hmel218003o,1820001,1840000,1829851,18064,905,16.896,13.6918,0.1048,0.0585,0.0303
Hmel218003o,1840001,1860000,1849930,18000,1137,26.1014,14.7587,0.2776,0.1103,0.0707
Hmel218003o,1860001,1880000,1870011,19942,1091,27.4509,14.3842,0.3123,0.1309,0.0748
Hmel218003o,1880001,1900000,1889777,19204,1154,28.4085,20.1408,0.1703,0.1079,0.0562
Hmel218003o,1900001,1920000,1909641,18626,820,23.152,15.436,0.2,0.1202,0.0628
Hmel218003o,1920001,1940000,1930009,19934,972,23.047,26.5282,-0.0702,-0.0441,-0.0241
